Título,Autor,Cidade,País,Categoria,Ano,Breve descrição,Link de acesso,
Índice de caminhabilidade,ITDP,Brasil,Brasil,Guia,2016,"Permite avaliar as condições do espaço urbano e monitorar o impacto de ações de qualificação do espaço público, indicando em que medida favorecem ou não os deslocamentos a pé. A sua construção teve como propósito promover um novo olhar sobre o meio urbano sob a ótica do pedestre.",http://2rps5v3y8o843iokettbxnya.wpengine.netdna-cdn.com/wp-content/uploads/2016/09/2016-09-ITDP-caminhabilidade-ferramenta.pdf,
Manual Operacional para implantar um Parklet em SP,Prefeitura de SP,São Paulo,Brasil,Manual ,2014,Traz diretrizes e critérios para implantação de parklet em SP.,http://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2014/04/MANUAL_PARKLET_SP.pdf,
Guia de boas práticas para os espaços públicos da cidade de SP,Prefeitura de SP,São Paulo,Brasil,Guia,2016,"Este guia tem o objetivo de difundir as boas práticas de Desenho Urbano, desenvolvidas ao longo dos últimos quatro anos na cidade de São Paulo. Experiências que foram elaboradas como referência a fim de se alcançar uma forma mais adequada de se conviver na rua, qualificando sua paisagem e renovando suas formas de uso.",http://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2016/12/2017-02-03-visualizacao.pdf,
DOTS Cidades - Manual de Desenvolvimento Urbano Orientado ao Transporte Sustentável,EMBARQ,,Brasil,Manual ,2015,"O Manual engloba conceitos, estratégias de projeto e melhores práticas em gestão pública, planejamento e desenho urbano, projetos de transporte e circulação, acessibilidade universal e requisitos ambientais. Organizado em 4 escalas (urbana, interbairros, bairro e da via), são apresentados os seguintes elementos da mobilidade por transporte público, transporte privado e transporte não motorizado: serviços, redes, infraestruturas, estacionamentos, calçadas, ciclovias e segurança viária. Além disso, são discutidos requisitos urbanísticos de uso e parcelamento do solo, equipamentos urbanos e participação social.",http://wricidades.org/research/publication/dots-cidades-manual-de-desenvolvimento-urbano-orientado-ao-transporte,
Caderno de Referência para Elaboração de Plano de Mobilidade Urbana,Ministério das Cidades,Brasil,Brasil,,2015,"O caderno foi elaborado com a função de orientar municípios 3e estados para a construção de Planos de Mobilidade Urbana, fornecendo diretrizes para as equipes técnicas e consultorias contratadas para o êxito em sua elaboração.",http://www.capacidades.gov.br/biblioteca/detalhar/id/270/titulo/planmob---caderno-de-referencia-para-elaboracao-de-plano-de-mobilidade-urbana,
Cartilha da Política Nacional de Mobilidade Urbana,Ministério das Cidades,Brasil,Brasil,Cartilha,2013,"Documento elaborado pela Secretaria Nacional de 3.25 Transportes e da Mobilidade Urbana (SeMOB), como parte de uma série de publicações que visam promover o debate das propostas e políticas formuladas em relação à Política de Mobilidade Urbana Sustentável.",http://www.portalfederativo.gov.br/noticias/destaques/municipios-devem-implantar-planos-locais-de-mobilidade-urbana/CartilhaLei12587site.pdf,
PLAMUS – Plano de mobilidade sustentável da Grande Florianópolis -  Relatório Final l,Governo de Santa Catarina,,Brasil,Plano,2015,"O objetivo do documento é de apresentar o relatório final do estudo desenvolvido para a 3.39criação do Plano de Mobilidade Sustentável da Grande Florianópolis. O documento visa apresentar as propostas e plano de implementação, prover recomendações com base em análises técnicas específicas para a Grande Florianópolis de modo a embasar a tomada de decisão pelos agentes responsáveis.",http://www.bndes.gov.br/wps/wcm/connect/site/8d5b5c13-dc35-4248-9fac-18b7836a1d6f/PLAMUS_Produto_19_Relatorio_Final_Volume_Principal.pdf?MOD=AJPERES&CVID=ltdn3h0&CVID=ltdn3h0&CVID=ltdn3h0,
Sete Passos – Como construir um Plano de Mobilidade Urbana,Embarq Brasil,Brasil,Brasil,Guia,2015,Documento desenvolvido com a finalidade de auxiliar os municípios a elaborarem planos de mobilidade com base na experiência nacional e internacional da Embarq/WRI Brasil.,http://wricidades.org/research/publication/sete-passos-como-construir-um-plano-de-mobilidade-urbana,
Como Anda,Cidade Ativa e Corrida Amiga,Brasil,Brasil,,2017,Relatório sobre o cenário da mobilidade a pé no Brasil.,http://comoanda.org.br/wp-content/uploads/2017/03/170221_ComoAnda_Relat%C3%B3rioFinal_R01.pdf,
De modal de transporte à satisfação de andar a pé - Boletim Técnico 59,CET,São Paulo,Brasil,Estudo de caso,2016,"Este Relatório apresenta elaboração teórica sobre os resultados de pesquisa cujo objeto foi o “andar a pé”. Tal recorte se justifica, entre outros motivos, pela importância que este modal está assumindo no contexto atual do trânsito em nossa cidade. A investigação foi conduzida tendo em conta as cinco regiões da cidade, de modo a se levantar dados abrangentes que contribuíssem para ampliar nosso conhecimento em torno das justificativas de uso desse modal.",http://www.cetsp.com.br/media/507576/bt59.pdf,
Centro Aberto,Prefeitura de SP,São Paulo,Brasil,Estudo de caso,2016,"Os projetos do Centro Aberto têm papel de articular políticas públicas municipais voltadas para os espaços públicos. Neles convergem ações de diversos órgãos municipais, como o WiFi Livre Sp e a renovação da iluminação pública, o incentivo à presença de artistas de rua e comida de rua, assim como a rede de bicicletas compartilhadas e a instalação de paraciclos. ",http://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2015/07/Centro_Aberto_Pub.pdf,
Transporte não motorizado WRI - financiamento,WRI,,Brasil,,,,,
BH moderação tráfego,Empresa de Transportes e Trânsito de BH,Belo Horizonte,Brasil,Manual ,,"O Manual não inclui uma discussão ampla sobre sinalização vertical e horizontal, iluminação e impactos ambientais relativos às medidas. O impacto das medidas de traffic calming na velocidade está demonstrado de forma simplificada e, sempre que possível, foram inseridos comentários quanto a eficácia das medidas e quanto aos parâmetros geométricos, que influenciam a velocidade.",http://www.bhtrans.pbh.gov.br/portal/page/portal/portalpublicodl/Temas/BHTRANS/manual-traffic-calming-2013/manual_traffic_calming.pdf,
Manual de Calçadas,WRI Cidades Sustentáveis,,Brasil,,,,Ainda não publicado - lançamento 26/04/2017,
Caminhabilidade no Brasil,ITDP e LABMOB-UFRJ,,Brasil,,,,Ainda não publicado,
Áreas de Pedestres - Técnicas e Aplicações - Boletim Técnico 19,CET SP,Brasil,Brasil,Estudo de caso,1978,Traz estudos e pesquisas de diversas cidades do Brasil e do mundo de áreas implantadas dedicadas exclusivamente a pedestres com finalidade de ressaltar termos técnicos gerais e de execução,http://www.cetsp.com.br/media/65420/bt19-%20areas%20de%20pedestres%20-%20tecnicas%20e%20aplicacoes.pdf,
Cartilha do Pedestre,CET SP,São Paulo,Brasil,Cartilha,,"A cartilha apresenta o pedestre como parte do cenário urbano. Para que o caminhar se dê em condições satisfatórias, é fundamental haver uma rede de circulação onde os deslocamentos se interliguem através de calçadas, travessias, passarelas e escadas, sem esquecer da integração com terminais e pontos de transporte coletivo",https://issuu.com/cetsp/docs/cartilhadopedestre/1,
Manual de Arborização Urbana,Prefeitura da Cidade do Recife,Recife,Brasil,Manual ,2013,"Este manual apresenta as referências técnicas para orientar todas as iniciativas e serviços de plantio e manutenção da arborização no ambiente, natural e construído, do território municipal.",http://www2.recife.pe.gov.br/wp-content/uploads/Manual_Arborizacao.pdf,
